"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149 / 주택임대차신고 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-02-01 ~ 2024-02-29"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 부산광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","부산광역시 기장군 기장읍 동부리","151-5","0151","0005","한신","59.8500","202402","05","        16,500","-","13","개인","개인","1995","차성로344번길 13","-","중개거래","부산 기장군","-"
"2","부산광역시 기장군 기장읍 동부리","159-10","0159","0010","동보시티빌","56.9250","202402","20","         9,800","-","2","개인","개인","2003","차성로322번길 39","-","중개거래","부산 기장군","-"
"3","부산광역시 기장군 기장읍 교리","2","0002","0000","이진캐스빌블루1차","115.6401","202402","24","        58,000","-","20","개인","개인","2011","차성로 461","-","중개거래","부산 기장군","-"
"4","부산광역시 기장군 기장읍 교리","14-5","0014","0005","태영","59.7500","202402","29","        16,300","-","9","개인","개인","1995","차성로441번길 7","-","중개거래","부산 기장군","-"
"5","부산광역시 기장군 기장읍 교리","360-2","0360","0002","원재아트빌","84.8400","202402","08","         9,500","-","5","개인","개인","2002","차성동로178번길 22","-","중개거래","부산 기장군","-"
"6","부산광역시 기장군 기장읍 서부리","101","0101","0000","서부주공","59.8300","202402","27","        21,000","-","5","개인","개인","2001","차성서로 123","-","중개거래","부산 기장군","-"
"7","부산광역시 기장군 기장읍 대라리","126-2","0126","0002","담덕기장센텀","63.3700","202402","28","        17,000","-","10","개인","개인","2014","차성동로45번길 31","-","중개거래","부산 기장군","-"
"8","부산광역시 기장군 기장읍 대라리","172-12","0172","0012","가화랜드빌기장1차","59.9416","202402","14","        12,000","-","6","개인","개인","2001","차성로216번길 26","-","중개거래","부산 기장군","-"
"9","부산광역시 기장군 기장읍 청강리","18-2","0018","0002","현대","84.6000","202402","13","        30,000","-","9","개인","개인","1993","기장대로 563","-","중개거래","부산 기장군","-"
"10","부산광역시 기장군 기장읍 청강리","144","0144","0000","우신네오빌","84.9888","202402","03","        23,800","-","23","개인","개인","2003","청강로 76","-","중개거래","부산 기장군","-"
"11","부산광역시 기장군 기장읍 청강리","868","0868","0000","웨이브리즈","59.9900","202402","12","        27,500","-","2","개인","개인","2022","대변로 43","-","중개거래","부산 기장군","-"
"12","부산광역시 기장군 기장읍 내리","792","0792","0000","동부산관광단지삼정그린코아더베스트","84.9887","202402","28","        49,000","-","5","개인","개인","2017","기장대로 82-8","-","중개거래","부산 기장군","-"
"13","부산광역시 기장군 정관읍 방곡리","378","0378","0000","부산정관지구이지더원5차아파트","68.4140","202402","08","        23,500","-","12","개인","개인","2015","방곡로 29","-","중개거래","부산 기장군","-"
"14","부산광역시 기장군 정관읍 방곡리","378","0378","0000","부산정관지구이지더원5차아파트","68.4140","202402","12","        22,700","-","3","개인","개인","2015","방곡로 29","-","중개거래","부산 기장군","-"
"15","부산광역시 기장군 정관읍 방곡리","378","0378","0000","부산정관지구이지더원5차아파트","68.4140","202402","17","        23,000","-","6","개인","개인","2015","방곡로 29","-","중개거래","부산 기장군","-"
"16","부산광역시 기장군 정관읍 방곡리","380","0380","0000","가화만사성정관타운","59.9437","202402","29","        18,000","-","14","개인","개인","2014","방곡로 39","-","직거래","-","-"
"17","부산광역시 기장군 정관읍 방곡리","380","0380","0000","가화만사성정관타운","59.9567","202402","22","        17,000","-","1","개인","개인","2014","방곡로 39","-","중개거래","부산 기장군","-"
"18","부산광역시 기장군 정관읍 방곡리","380","0380","0000","가화만사성정관타운","59.9193","202402","17","        18,500","-","15","개인","개인","2014","방곡로 39","-","중개거래","부산 기장군","-"
"19","부산광역시 기장군 정관읍 방곡리","380","0380","0000","가화만사성정관타운","59.9567","202402","21","        18,500","-","12","개인","개인","2014","방곡로 39","-","중개거래","부산 기장군","-"
"20","부산광역시 기장군 정관읍 방곡리","380","0380","0000","가화만사성정관타운","59.9567","202402","07","        19,000","-","6","개인","개인","2014","방곡로 39","-","중개거래","부산 기장군","-"
"21","부산광역시 기장군 정관읍 방곡리","385","0385","0000","서희스타힐스","59.8100","202402","17","        20,500","-","5","개인","개인","2011"," 11","-","직거래","-","-"
"22","부산광역시 기장군 정관읍 방곡리","405","0405","0000","정관가화만사성더테라스2차","60.1758","202402","03","        25,700","-","3","개인","개인","2018","구연방곡로 106","-","중개거래","부산 기장군","-"
"23","부산광역시 기장군 정관읍 방곡리","407","0407","0000","정관가화만사성더테라스1차","60.1758","202402","12","        27,000","-","5","개인","개인","2017","구연방곡로 120","-","중개거래","부산 기장군","-"
"24","부산광역시 기장군 정관읍 방곡리","407","0407","0000","정관가화만사성더테라스1차","60.1758","202402","03","        24,500","-","3","개인","개인","2017","구연방곡로 120","-","중개거래","부산 기장군","-"
"25","부산광역시 기장군 정관읍 매학리","723","0723","0000","정관2차동원로얄듀크","84.9993","202402","08","        38,400","-","15","개인","개인","2013"," 12","-","중개거래","부산 기장군","-"
"26","부산광역시 기장군 정관읍 매학리","723","0723","0000","정관2차동원로얄듀크","84.9990","202402","22","        35,000","-","6","개인","개인","2013"," 12","-","중개거래","부산 기장군","-"
"27","부산광역시 기장군 정관읍 달산리","1207","1207","0000","정관1차동원로얄듀크","79.6526","202402","24","        29,500","-","8","개인","개인","2013"," 139","-","중개거래","부산 기장군","-"
"28","부산광역시 기장군 정관읍 달산리","1207","1207","0000","정관1차동원로얄듀크","59.9970","202402","14","        21,600","-","14","개인","개인","2013"," 139","-","중개거래","부산 기장군","-"
"29","부산광역시 기장군 정관읍 달산리","1244","1244","0000","두산위브더테라스","84.9940","202402","21","        35,900","-","3","개인","개인","2018","산단6로 33-8","-","중개거래","부산 기장군","-"
"30","부산광역시 기장군 정관읍 모전리","723","0723","0000","이지더원","84.7808","202402","20","        24,800","-","3","개인","개인","2011"," 18","-","중개거래","부산 기장군","-"
"31","부산광역시 기장군 정관읍 모전리","723","0723","0000","이지더원","84.7808","202402","08","        26,000","-","19","개인","개인","2011"," 18","-","중개거래","부산 기장군","-"
"32","부산광역시 기장군 정관읍 모전리","723","0723","0000","이지더원","59.8832","202402","23","        19,000","-","17","개인","개인","2011"," 18","-","중개거래","부산 기장군","-"
"33","부산광역시 기장군 정관읍 모전리","728","0728","0000","동일스위트3차","84.9174","202402","17","        30,000","-","8","개인","개인","2014"," 9","-","중개거래","부산 기장군","-"
"34","부산광역시 기장군 정관읍 모전리","728","0728","0000","동일스위트3차","84.9938","202402","28","        28,700","-","12","개인","개인","2014"," 9","-","중개거래","부산 기장군","-"
"35","부산광역시 기장군 정관읍 모전리","728","0728","0000","동일스위트3차","65.9397","202402","21","        24,000","-","12","개인","개인","2014"," 9","-","중개거래","부산 기장군","-"
"36","부산광역시 기장군 정관읍 모전리","728","0728","0000","동일스위트3차","65.9876","202402","03","        23,900","-","16","개인","개인","2014"," 9","-","중개거래","부산 기장군","-"
"37","부산광역시 기장군 정관읍 모전리","728","0728","0000","동일스위트3차","65.9876","202402","23","        24,800","-","18","개인","개인","2014"," 9","-","중개거래","부산 기장군","-"
"38","부산광역시 기장군 정관읍 모전리","728","0728","0000","동일스위트3차","65.9876","202402","07","        24,000","-","20","개인","개인","2014"," 9","-","중개거래","부산 기장군","-"
"39","부산광역시 기장군 정관읍 모전리","728","0728","0000","동일스위트3차","65.9876","202402","03","        23,000","-","6","개인","개인","2014"," 9","-","중개거래","부산 기장군","-"
"40","부산광역시 기장군 정관읍 모전리","728","0728","0000","동일스위트3차","84.9174","202402","28","        29,500","-","6","개인","개인","2014"," 9","-","중개거래","부산 기장군","-"
"41","부산광역시 기장군 정관읍 모전리","728","0728","0000","동일스위트3차","65.9876","202402","14","        24,200","-","16","개인","개인","2014"," 9","-","중개거래","부산 기장군","-"
"42","부산광역시 기장군 정관읍 모전리","730","0730","0000","이지더원3차","84.9700","202402","17","        33,000","-","9","개인","개인","2015","정관로 350","-","중개거래","부산 기장군","-"
"43","부산광역시 기장군 정관읍 모전리","730","0730","0000","이지더원3차","84.9700","202402","02","        32,700","-","16","개인","개인","2015","정관로 350","-","중개거래","부산 기장군","-"
"44","부산광역시 기장군 정관읍 모전리","730","0730","0000","이지더원3차","84.9700","202402","16","        33,000","-","18","개인","개인","2015","정관로 350","-","중개거래","부산 기장군","-"
"45","부산광역시 기장군 정관읍 모전리","730","0730","0000","이지더원3차","65.6536","202402","02","        27,000","-","7","개인","개인","2015","정관로 350","-","중개거래","부산 기장군","-"
"46","부산광역시 기장군 정관읍 모전리","735","0735","0000","이지더원2차","59.8935","202402","07","        19,300","-","1","개인","개인","2012"," 9","-","중개거래","부산 기장군","-"
"47","부산광역시 기장군 정관읍 모전리","735","0735","0000","이지더원2차","59.8935","202402","02","        21,500","-","15","개인","개인","2012"," 9","-","중개거래","부산 기장군","-"
"48","부산광역시 기장군 정관읍 모전리","735","0735","0000","이지더원2차","84.9644","202402","03","        28,800","-","10","개인","개인","2012"," 9","-","중개거래","부산 기장군","-"
"49","부산광역시 기장군 정관읍 모전리","735","0735","0000","이지더원2차","59.8935","202402","16","        19,500","-","8","개인","개인","2012"," 9","-","중개거래","부산 기장군","-"
"50","부산광역시 기장군 정관읍 모전리","735","0735","0000","이지더원2차","59.8935","202402","16","        19,500","-","8","개인","개인","2012"," 9","20240228","중개거래","부산 기장군","-"
"51","부산광역시 기장군 정관읍 모전리","735","0735","0000","이지더원2차","59.9984","202402","03","        21,000","-","11","개인","개인","2012"," 9","-","중개거래","부산 해운대구","-"
"52","부산광역시 기장군 정관읍 모전리","735","0735","0000","이지더원2차","84.9644","202402","06","        31,000","-","18","개인","개인","2012"," 9","-","중개거래","부산 기장군","-"
"53","부산광역시 기장군 정관읍 모전리","755","0755","0000","정관현진에버빌","84.9810","202402","14","        30,800","-","3","개인","개인","2009"," 40","-","중개거래","부산 기장군","-"
"54","부산광역시 기장군 정관읍 모전리","755","0755","0000","정관현진에버빌","116.0240","202402","29","        37,500","-","15","개인","개인","2009"," 40","-","중개거래","부산 기장군","-"
"55","부산광역시 기장군 정관읍 모전리","755","0755","0000","정관현진에버빌","84.9810","202402","23","        32,000","-","3","개인","개인","2009"," 40","-","중개거래","부산 기장군","-"
"56","부산광역시 기장군 정관읍 모전리","755","0755","0000","정관현진에버빌","84.9880","202402","06","        32,900","-","15","개인","개인","2009"," 40","-","중개거래","부산 기장군","-"
"57","부산광역시 기장군 정관읍 모전리","755","0755","0000","정관현진에버빌","166.1860","202402","05","        60,300","-","11","개인","개인","2009"," 40","-","중개거래","부산 기장군","-"
"58","부산광역시 기장군 정관읍 모전리","755","0755","0000","정관현진에버빌","166.1860","202402","21","        59,000","-","8","개인","개인","2009"," 40","-","중개거래","부산 기장군","-"
"59","부산광역시 기장군 정관읍 모전리","776","0776","0000","정관동일스위트2차","84.9882","202402","28","        27,300","-","6","개인","개인","2013"," 23","-","중개거래","부산 기장군","-"
"60","부산광역시 기장군 정관읍 모전리","776","0776","0000","정관동일스위트2차","84.9864","202402","03","        29,000","-","5","개인","개인","2013"," 23","-","중개거래","부산 기장군","-"
"61","부산광역시 기장군 정관읍 용수리","1275","1275","0000","정관양우내안愛","59.8986","202402","22","        22,800","-","14","개인","개인","2016","정관5로 144","-","중개거래","부산 기장군","-"
"62","부산광역시 기장군 정관읍 용수리","1275","1275","0000","정관양우내안愛","59.9527","202402","28","        18,500","-","1","개인","개인","2016","정관5로 144","-","중개거래","부산 기장군","-"
"63","부산광역시 기장군 정관읍 용수리","1279","1279","0000","정관이진캐스빌2차","84.9026","202402","05","        30,600","-","1","개인","개인","2017","가동3로 19","-","중개거래","부산 기장군","-"
"64","부산광역시 기장군 정관읍 용수리","1318","1318","0000","정관협성르네상스타운","126.2039","202402","07","        54,000","-","10","개인","개인","2013"," 68","-","중개거래","부산 기장군","-"
"65","부산광역시 기장군 정관읍 용수리","1322","1322","0000","정관신동아파밀리에","107.8300","202402","01","        33,000","-","5","개인","개인","2008"," 75","-","중개거래","부산 기장군","-"
"66","부산광역시 기장군 정관읍 용수리","1322","1322","0000","정관신동아파밀리에","107.8300","202402","22","        37,000","-","11","개인","개인","2008"," 75","-","중개거래","부산 기장군","-"
"67","부산광역시 기장군 정관읍 용수리","1330","1330","0000","정관신도시계룡리슈빌","84.8360","202402","02","        38,600","-","17","개인","개인","2008"," 513","-","중개거래","부산 기장군","-"
"68","부산광역시 기장군 정관읍 용수리","1336","1336","0000","이진캐스빌","59.8881","202402","11","        29,800","-","9","개인","개인","2014","정관로 545","-","중개거래","부산 기장군","-"
"69","부산광역시 기장군 정관읍 용수리","1364","1364","0000","정관신도시롯데캐슬","84.8500","202402","01","        29,000","-","13","개인","개인","2008"," 52","-","중개거래","부산 기장군","-"
