NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,부산광역시 기장군 기장읍 동부리,151-5,151,5,한신,59.85,202402,5,"16,500",-,13,개인,개인,1995,차성로344번길 13,-,중개거래,부산 기장군,-
2,부산광역시 기장군 기장읍 동부리,159-10,159,10,동보시티빌,56.925,202402,20,"9,800",-,2,개인,개인,2003,차성로322번길 39,-,중개거래,부산 기장군,-
3,부산광역시 기장군 기장읍 교리,2,2,0,이진캐스빌블루1차,115.6401,202402,24,"58,000",-,20,개인,개인,2011,차성로 461,-,중개거래,부산 기장군,-
4,부산광역시 기장군 기장읍 교리,05월 14일,14,5,태영,59.75,202402,29,"16,300",-,9,개인,개인,1995,차성로441번길 7,-,중개거래,부산 기장군,-
5,부산광역시 기장군 기장읍 교리,360-2,360,2,원재아트빌,84.84,202402,8,"9,500",-,5,개인,개인,2002,차성동로178번길 22,-,중개거래,부산 기장군,-
6,부산광역시 기장군 기장읍 서부리,101,101,0,서부주공,59.83,202402,27,"21,000",-,5,개인,개인,2001,차성서로 123,-,중개거래,부산 기장군,-
7,부산광역시 기장군 기장읍 대라리,126-2,126,2,담덕기장센텀,63.37,202402,28,"17,000",-,10,개인,개인,2014,차성동로45번길 31,-,중개거래,부산 기장군,-
8,부산광역시 기장군 기장읍 대라리,172-12,172,12,가화랜드빌기장1차,59.9416,202402,14,"12,000",-,6,개인,개인,2001,차성로216번길 26,-,중개거래,부산 기장군,-
9,부산광역시 기장군 기장읍 청강리,02월 18일,18,2,현대,84.6,202402,13,"30,000",-,9,개인,개인,1993,기장대로 563,-,중개거래,부산 기장군,-
10,부산광역시 기장군 기장읍 청강리,144,144,0,우신네오빌,84.9888,202402,3,"23,800",-,23,개인,개인,2003,청강로 76,-,중개거래,부산 기장군,-
11,부산광역시 기장군 기장읍 청강리,868,868,0,웨이브리즈,59.99,202402,12,"27,500",-,2,개인,개인,2022,대변로 43,-,중개거래,부산 기장군,-
12,부산광역시 기장군 기장읍 내리,792,792,0,동부산관광단지삼정그린코아더베스트,84.9887,202402,28,"49,000",-,5,개인,개인,2017,기장대로 82-8,-,중개거래,부산 기장군,-
13,부산광역시 기장군 정관읍 방곡리,378,378,0,부산정관지구이지더원5차아파트,68.414,202402,8,"23,500",-,12,개인,개인,2015,방곡로 29,-,중개거래,부산 기장군,-
14,부산광역시 기장군 정관읍 방곡리,378,378,0,부산정관지구이지더원5차아파트,68.414,202402,12,"22,700",-,3,개인,개인,2015,방곡로 29,-,중개거래,부산 기장군,-
15,부산광역시 기장군 정관읍 방곡리,378,378,0,부산정관지구이지더원5차아파트,68.414,202402,17,"23,000",-,6,개인,개인,2015,방곡로 29,-,중개거래,부산 기장군,-
16,부산광역시 기장군 정관읍 방곡리,380,380,0,가화만사성정관타운,59.9437,202402,29,"18,000",-,14,개인,개인,2014,방곡로 39,-,직거래,-,-
17,부산광역시 기장군 정관읍 방곡리,380,380,0,가화만사성정관타운,59.9567,202402,22,"17,000",-,1,개인,개인,2014,방곡로 39,-,중개거래,부산 기장군,-
18,부산광역시 기장군 정관읍 방곡리,380,380,0,가화만사성정관타운,59.9193,202402,17,"18,500",-,15,개인,개인,2014,방곡로 39,-,중개거래,부산 기장군,-
19,부산광역시 기장군 정관읍 방곡리,380,380,0,가화만사성정관타운,59.9567,202402,21,"18,500",-,12,개인,개인,2014,방곡로 39,-,중개거래,부산 기장군,-
20,부산광역시 기장군 정관읍 방곡리,380,380,0,가화만사성정관타운,59.9567,202402,7,"19,000",-,6,개인,개인,2014,방곡로 39,-,중개거래,부산 기장군,-
21,부산광역시 기장군 정관읍 방곡리,385,385,0,서희스타힐스,59.81,202402,17,"20,500",-,5,개인,개인,2011,11,-,직거래,-,-
22,부산광역시 기장군 정관읍 방곡리,405,405,0,정관가화만사성더테라스2차,60.1758,202402,3,"25,700",-,3,개인,개인,2018,구연방곡로 106,-,중개거래,부산 기장군,-
23,부산광역시 기장군 정관읍 방곡리,407,407,0,정관가화만사성더테라스1차,60.1758,202402,12,"27,000",-,5,개인,개인,2017,구연방곡로 120,-,중개거래,부산 기장군,-
24,부산광역시 기장군 정관읍 방곡리,407,407,0,정관가화만사성더테라스1차,60.1758,202402,3,"24,500",-,3,개인,개인,2017,구연방곡로 120,-,중개거래,부산 기장군,-
25,부산광역시 기장군 정관읍 매학리,723,723,0,정관2차동원로얄듀크,84.9993,202402,8,"38,400",-,15,개인,개인,2013,12,-,중개거래,부산 기장군,-
26,부산광역시 기장군 정관읍 매학리,723,723,0,정관2차동원로얄듀크,84.999,202402,22,"35,000",-,6,개인,개인,2013,12,-,중개거래,부산 기장군,-
27,부산광역시 기장군 정관읍 달산리,1207,1207,0,정관1차동원로얄듀크,79.6526,202402,24,"29,500",-,8,개인,개인,2013,139,-,중개거래,부산 기장군,-
28,부산광역시 기장군 정관읍 달산리,1207,1207,0,정관1차동원로얄듀크,59.997,202402,14,"21,600",-,14,개인,개인,2013,139,-,중개거래,부산 기장군,-
29,부산광역시 기장군 정관읍 달산리,1244,1244,0,두산위브더테라스,84.994,202402,21,"35,900",-,3,개인,개인,2018,산단6로 33-8,-,중개거래,부산 기장군,-
30,부산광역시 기장군 정관읍 모전리,723,723,0,이지더원,84.7808,202402,20,"24,800",-,3,개인,개인,2011,18,-,중개거래,부산 기장군,-
31,부산광역시 기장군 정관읍 모전리,723,723,0,이지더원,84.7808,202402,8,"26,000",-,19,개인,개인,2011,18,-,중개거래,부산 기장군,-
32,부산광역시 기장군 정관읍 모전리,723,723,0,이지더원,59.8832,202402,23,"19,000",-,17,개인,개인,2011,18,-,중개거래,부산 기장군,-
33,부산광역시 기장군 정관읍 모전리,728,728,0,동일스위트3차,84.9174,202402,17,"30,000",-,8,개인,개인,2014,9,-,중개거래,부산 기장군,-
34,부산광역시 기장군 정관읍 모전리,728,728,0,동일스위트3차,84.9938,202402,28,"28,700",-,12,개인,개인,2014,9,-,중개거래,부산 기장군,-
35,부산광역시 기장군 정관읍 모전리,728,728,0,동일스위트3차,65.9397,202402,21,"24,000",-,12,개인,개인,2014,9,-,중개거래,부산 기장군,-
36,부산광역시 기장군 정관읍 모전리,728,728,0,동일스위트3차,65.9876,202402,3,"23,900",-,16,개인,개인,2014,9,-,중개거래,부산 기장군,-
37,부산광역시 기장군 정관읍 모전리,728,728,0,동일스위트3차,65.9876,202402,23,"24,800",-,18,개인,개인,2014,9,-,중개거래,부산 기장군,-
38,부산광역시 기장군 정관읍 모전리,728,728,0,동일스위트3차,65.9876,202402,7,"24,000",-,20,개인,개인,2014,9,-,중개거래,부산 기장군,-
39,부산광역시 기장군 정관읍 모전리,728,728,0,동일스위트3차,65.9876,202402,3,"23,000",-,6,개인,개인,2014,9,-,중개거래,부산 기장군,-
40,부산광역시 기장군 정관읍 모전리,728,728,0,동일스위트3차,84.9174,202402,28,"29,500",-,6,개인,개인,2014,9,-,중개거래,부산 기장군,-
41,부산광역시 기장군 정관읍 모전리,728,728,0,동일스위트3차,65.9876,202402,14,"24,200",-,16,개인,개인,2014,9,-,중개거래,부산 기장군,-
42,부산광역시 기장군 정관읍 모전리,730,730,0,이지더원3차,84.97,202402,17,"33,000",-,9,개인,개인,2015,정관로 350,-,중개거래,부산 기장군,-
43,부산광역시 기장군 정관읍 모전리,730,730,0,이지더원3차,84.97,202402,2,"32,700",-,16,개인,개인,2015,정관로 350,-,중개거래,부산 기장군,-
44,부산광역시 기장군 정관읍 모전리,730,730,0,이지더원3차,84.97,202402,16,"33,000",-,18,개인,개인,2015,정관로 350,-,중개거래,부산 기장군,-
45,부산광역시 기장군 정관읍 모전리,730,730,0,이지더원3차,65.6536,202402,2,"27,000",-,7,개인,개인,2015,정관로 350,-,중개거래,부산 기장군,-
46,부산광역시 기장군 정관읍 모전리,735,735,0,이지더원2차,59.8935,202402,7,"19,300",-,1,개인,개인,2012,9,-,중개거래,부산 기장군,-
47,부산광역시 기장군 정관읍 모전리,735,735,0,이지더원2차,59.8935,202402,2,"21,500",-,15,개인,개인,2012,9,-,중개거래,부산 기장군,-
48,부산광역시 기장군 정관읍 모전리,735,735,0,이지더원2차,84.9644,202402,3,"28,800",-,10,개인,개인,2012,9,-,중개거래,부산 기장군,-
49,부산광역시 기장군 정관읍 모전리,735,735,0,이지더원2차,59.8935,202402,16,"19,500",-,8,개인,개인,2012,9,-,중개거래,부산 기장군,-
50,부산광역시 기장군 정관읍 모전리,735,735,0,이지더원2차,59.8935,202402,16,"19,500",-,8,개인,개인,2012,9,20240228,중개거래,부산 기장군,-
51,부산광역시 기장군 정관읍 모전리,735,735,0,이지더원2차,59.9984,202402,3,"21,000",-,11,개인,개인,2012,9,-,중개거래,부산 해운대구,-
52,부산광역시 기장군 정관읍 모전리,735,735,0,이지더원2차,84.9644,202402,6,"31,000",-,18,개인,개인,2012,9,-,중개거래,부산 기장군,-
53,부산광역시 기장군 정관읍 모전리,755,755,0,정관현진에버빌,84.981,202402,14,"30,800",-,3,개인,개인,2009,40,-,중개거래,부산 기장군,-
54,부산광역시 기장군 정관읍 모전리,755,755,0,정관현진에버빌,116.024,202402,29,"37,500",-,15,개인,개인,2009,40,-,중개거래,부산 기장군,-
